iter	Passed	Remaining
473	685	761
474	686	759
475	687	757
476	688	755
477	690	753
478	691	751
479	692	750
480	693	748
481	694	746
482	695	744
483	696	742
484	698	741
485	699	739
486	700	737
487	701	735
488	702	734
489	703	732
490	705	731
491	706	729
492	707	727
493	708	725
494	709	724
495	711	722
496	712	721
497	713	719
498	714	717
499	716	716
500	717	714
501	718	712
502	719	711
503	720	709
504	722	708
505	723	706
506	725	704
507	726	703
508	727	701
509	728	699
510	729	698
511	731	696
512	732	695
513	733	693
514	734	691
515	736	690
516	737	688
517	738	687
518	739	685
519	740	683
520	742	682
521	743	680
522	744	678
523	745	677
524	746	675
525	747	673
526	748	672
527	749	670
528	751	668
529	752	667
530	753	665
531	754	663
532	755	662
533	756	660
534	758	658
535	759	657
536	761	656
537	762	654
538	763	653
539	764	651
540	766	649
541	767	648
542	768	646
543	769	645
544	770	643
545	772	642
546	773	640
547	774	638
548	775	637
549	776	635
550	777	633
551	779	632
552	780	630
553	781	629
554	782	627
555	784	626
556	785	624
557	786	622
558	787	621
559	788	619
560	789	617
561	791	616
562	792	615
563	794	613
564	795	612
565	796	610
566	797	608
567	798	607
568	799	605
569	801	604
570	802	602
571	803	601
572	804	599
573	805	598
574	807	596
575	808	594
576	809	593
577	810	591
578	812	590
579	813	589
580	815	587
581	816	586
582	817	584
583	819	583
584	820	582
585	821	580
586	823	579
587	824	577
588	825	576
589	826	574
590	827	572
591	829	571
592	831	570
593	833	569
594	834	567
595	835	566
596	837	565
597	838	563
598	839	562
599	841	560
600	842	559
601	843	557
602	844	556
603	845	554
604	847	553
605	848	551
606	849	550
607	850	548
608	852	547
609	853	545
610	854	543
611	855	542
612	856	540
613	858	539
614	859	538
615	860	536
616	862	535
617	863	533
618	864	532
619	866	530
620	867	529
621	869	528
622	870	526
623	871	525
624	872	523
625	874	522
626	875	520
627	876	519
628	878	518
629	879	516
630	880	514
631	881	513
632	883	512
633	884	510
634	885	509
635	887	507
636	888	506
637	889	504
638	890	502
639	891	501
640	892	499
641	893	498
642	895	497
643	896	495
644	897	494
645	900	493
646	901	491
647	902	490
648	904	488
649	905	487
650	906	486
651	907	484
652	909	483
653	910	481
654	911	480
655	912	478
656	913	477
657	915	475
658	916	474
659	917	472
660	918	471
661	919	469
662	921	468
663	922	466
664	923	465
665	925	464
666	926	462
667	927	461
668	928	459
669	930	458
670	932	457
671	934	456
672	935	454
673	936	453
674	938	451
675	939	450
676	940	448
677	941	447
678	942	445
679	944	444
680	945	442
681	946	441
682	947	439
683	948	438
684	949	436
685	950	435
686	952	433
687	953	432
688	954	430
689	955	429
690	956	427
691	958	426
692	959	424
693	960	423
694	961	422
695	963	420
696	964	419
697	965	417
698	966	416
699	967	414
700	968	413
701	970	411
702	971	410
703	972	408
704	973	407
705	975	406
706	976	404
707	977	403
708	978	401
709	979	400
710	981	398
711	982	397
712	983	395
713	985	394
714	986	393
715	987	391
716	988	390
717	990	389
718	992	387
719	993	386
720	995	385
721	996	383
722	998	382
723	999	380
724	1000	379
725	1001	378
726	1003	376
727	1004	375
728	1005	373
729	1007	372
730	1008	371
731	1009	369
732	1011	368
733	1012	366
734	1013	365
735	1015	364
736	1016	362
737	1017	361
738	1018	359
739	1019	358
740	1021	357
741	1022	355
742	1023	354
743	1025	352
744	1026	351
745	1027	349
746	1029	348
747	1030	347
748	1031	345
749	1032	344
750	1033	342
751	1034	341
752	1036	339
753	1037	338
754	1039	337
755	1040	335
756	1041	334
